epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17506,4.15444,3.91138,1.68996,0,0,0,0,4.27315,4.29326,2.20549,0,0,0
2,2.4478,4.34769,3.98763,1.69542,0,0,0,0,4.23114,4.28481,2.16872,1.60099e-05,1.60099e-05,1.60099e-05
3,3.5862,4.09434,3.89901,1.7261,0,0,0,0,4.22793,4.27048,2.14314,3.06995e-05,3.06995e-05,3.06995e-05
4,4.89556,4.36674,3.94153,1.66547,0,0,0,0,4.18295,4.2314,2.06004,4.40688e-05,4.40688e-05,4.40688e-05
5,5.98349,3.4734,3.93429,1.45787,0,0,0,0,4.08011,4.19184,1.9445,5.61179e-05,5.61179e-05,5.61179e-05
6,7.1225,3.83231,3.88995,1.436,0,0,0,0,3.97205,4.13282,1.79833,6.68467e-05,6.68467e-05,6.68467e-05
7,8.6224,3.92882,3.87826,1.38518,0,0,0,0,3.97834,4.07831,1.67192,7.62552e-05,7.62552e-05,7.62552e-05
8,9.8446,3.94453,3.88901,1.37608,0,0,0,0,4.02244,4.02903,1.56087,8.43435e-05,8.43435e-05,8.43435e-05
9,11.0705,3.5639,3.87921,1.28994,0,0,0,0,3.87588,3.97678,1.4349,9.11116e-05,9.11116e-05,9.11116e-05
10,12.5418,3.33643,3.76067,1.19551,0,0,0,0,3.87239,3.93968,1.30674,9.65593e-05,9.65593e-05,9.65593e-05
11,13.9087,3.60289,3.83379,1.29801,0,0,0,0,3.64653,3.90444,1.17661,0.000100687,0.000100687,0.000100687
12,15.0557,3.1859,3.74695,1.19746,0.01117,0.01279,0.00567,0.00106,3.30467,3.88688,1.10378,0.000103494,0.000103494,0.000103494
13,16.0975,2.94039,3.7138,1.12649,0.00246,0.00909,0.00129,0.00013,3.11793,3.87729,1.08526,0.000104981,0.000104981,0.000104981
14,17.4113,3.84564,3.77698,1.20394,0.00246,0.00909,0.00129,0.00013,3.09438,3.86691,1.05546,0.000105148,0.000105148,0.000105148
15,18.9625,3.11585,3.66854,1.094,0.00246,0.00909,0.00129,0.00013,3.13885,3.86336,1.03262,0.000103994,0.000103994,0.000103994
16,20.1315,3.39426,3.6533,1.10953,0.00246,0.00909,0.00129,0.00013,3.19599,3.8663,1.02489,0.00010152,0.00010152,0.00010152
17,21.2754,2.723,3.52889,1.05961,0.00246,0.00909,0.00129,0.00013,3.16719,3.85826,1.00911,9.77262e-05,9.77262e-05,9.77262e-05
18,22.2933,3.25734,3.56584,1.10035,0.00246,0.00909,0.00129,0.00013,3.16719,3.85826,1.00911,9.26119e-05,9.26119e-05,9.26119e-05
19,23.4416,2.81333,3.52999,1.02556,0.00246,0.00909,0.00129,0.00013,3.12535,3.85002,1.00672,8.61772e-05,8.61772e-05,8.61772e-05
20,24.4625,2.91874,3.53474,1.1094,0.00246,0.00909,0.00129,0.00013,3.12535,3.85002,1.00672,7.84223e-05,7.84223e-05,7.84223e-05
21,25.5192,2.8607,3.47988,1.07616,0.00301,0.00909,0.00154,0.00015,3.03853,3.84386,0.99508,6.93472e-05,6.93472e-05,6.93472e-05
22,26.5387,2.58804,3.46901,1.03614,0.00301,0.00909,0.00154,0.00015,3.03853,3.84386,0.99508,5.89518e-05,5.89518e-05,5.89518e-05
23,27.5984,3.21169,3.49745,1.09169,0.00301,0.00909,0.00154,0.00015,2.99065,3.83847,0.99286,4.72361e-05,4.72361e-05,4.72361e-05
24,28.7145,2.92953,3.46619,1.06573,0.00301,0.00909,0.00154,0.00015,2.99065,3.83847,0.99286,3.42002e-05,3.42002e-05,3.42002e-05
25,29.7696,3.73909,3.53167,1.08664,0.00301,0.00909,0.00154,0.00015,2.95189,3.83404,0.99116,1.9844e-05,1.9844e-05,1.9844e-05
