epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02451,4.59943,3.98214,1.75118,0,0,0,0,5.23025,4.03576,2.16595,3.334e-05,3.334e-05,3.334e-05
2,7.08973,4.59886,3.98533,1.77688,0,0,0,0,5.18111,4.02042,2.13594,8.16997e-05,8.16997e-05,8.16997e-05
3,12.0345,4.18872,3.90352,1.54842,0.00015,0.00011,8e-05,1e-05,4.27915,3.92782,1.40525,0.000128079,0.000128079,0.000128079
4,14.0352,3.58937,3.80185,1.23645,0.00627,0.00928,0.00317,0.00064,3.48295,3.81788,1.07999,0.000172478,0.000172478,0.000172478
5,15.9372,3.31248,3.62835,1.12077,0.00071,0.00173,0.0016,0.00019,3.41878,3.84815,1.07377,0.000214896,0.000214896,0.000214896
6,22.059,3.21175,3.41059,1.06308,0.00058,0.0008,0.00029,4e-05,3.26759,3.84155,1.04671,0.000255334,0.000255334,0.000255334
7,24.3378,3.0543,3.27431,1.03966,0.00633,0.00881,0.00327,0.00065,3.17678,3.7986,1.02475,0.000293792,0.000293792,0.000293792
8,27.629,2.95802,3.12881,1.03362,0.00585,0.00754,0.00302,0.00049,3.11107,3.78209,1.02286,0.000330269,0.000330269,0.000330269
9,31.0316,2.88505,3.01612,1.00924,0.00373,0.00609,0.00191,0.00055,3.11441,3.75717,1.02904,0.000364766,0.000364766,0.000364766
10,32.8777,2.86984,2.86373,1.00502,0.00625,0.01059,0.00331,0.00071,3.00484,3.72479,1.01936,0.000397283,0.000397283,0.000397283
11,34.7766,2.8716,2.73241,0.99955,0.00624,0.01082,0.00324,0.00085,2.93434,3.65033,1.00801,0.000427819,0.000427819,0.000427819
12,36.5971,2.84834,2.61607,0.99994,0.00898,0.01401,0.00464,0.00117,2.98737,3.61932,1.00873,0.000456375,0.000456375,0.000456375
13,38.4356,2.66347,2.45347,0.99689,0.01755,0.02887,0.00953,0.00287,2.83173,3.51619,1.00735,0.00048295,0.00048295,0.00048295
14,41.1676,2.76072,2.30352,0.99088,0.02797,0.04706,0.01557,0.00477,2.81547,3.47417,1.0055,0.000507545,0.000507545,0.000507545
15,44.2441,2.7072,2.2107,0.97378,0.03842,0.06063,0.02388,0.00609,2.9362,3.38742,0.99921,0.000530159,0.000530159,0.000530159
16,46.2282,2.72149,2.07707,0.96739,0.03676,0.05645,0.02278,0.00545,3.11322,3.33139,1.00752,0.000550793,0.000550793,0.000550793
